;database;question;gold_sql;predicted_SQL;correct;Verification
35;poker_player;List the names of people that are not poker players.;SELECT Name FROM people WHERE People_ID NOT IN (SELECT People_ID FROM poker_player);SELECT T2.name FROM people AS T2 JOIN poker_player AS T1 ON T2.People_ID = T1.People_ID;0;
36;poker_player;What are the names of people who do not play poker?;SELECT Name FROM people WHERE People_ID NOT IN (SELECT People_ID FROM poker_player);SELECT T2.name FROM people AS T2 JOIN poker_player AS T1 ON T2.People_ID = T1.People_ID;0;
37;poker_player;How many distinct nationalities are there?;SELECT count(DISTINCT Nationality) FROM people;SELECT COUNT(DISTINCT(people.Nationality)) FROM people;1;1
38;poker_player;Count the number of different nationalities.;SELECT count(DISTINCT Nationality) FROM people;SELECT COUNT(DISTINCT(people.Nationality)) FROM people;1;1
39;voter_1;How many states are there?;SELECT count(*) FROM area_code_state;SELECT COUNT(*) FROM AREA_CODE_STATE;1;1
40;voter_1;List the contestant numbers and names, ordered by contestant name descending.;SELECT contestant_number ,  contestant_name FROM contestants ORDER BY contestant_name DESC;SELECT contestant_number ,contestant_name FROM CONTESTANTS ORDER BY CONTESTANTS.contestant_name DESC;1;1
41;voter_1;List the vote ids, phone numbers and states of all votes.;SELECT vote_id ,  phone_number ,  state FROM votes;SELECT VOTES.vote_id ,phone_number ,state FROM VOTES;1;1
42;voter_1;What are the maximum and minimum values of area codes?;SELECT max(area_code) ,  min(area_code) FROM area_code_state;SELECT MAX(AREA_CODE_STATE.area_code) ,MIN(AREA_CODE_STATE.area_code) FROM AREA_CODE_STATE;1;1
43;voter_1;What are the names of the contestants whose names are not 'Jessie Alloway';SELECT contestant_name FROM contestants WHERE contestant_name != 'Jessie Alloway';SELECT CONTESTANTS.contestant_name FROM CONTESTANTS WHERE CONTESTANTS.contestant_name != 'Jessie Alloway' ;1;1
44;voter_1;What are the distinct states and create time of all votes?;SELECT DISTINCT state ,  created FROM votes;SELECT DISTINCT(VOTES.state) ,created FROM VOTES;1;1
45;voter_1;What are the contestant numbers and names of the contestants who had at least two votes?;SELECT T1.contestant_number , T1.contestant_name FROM contestants AS T1 JOIN votes AS T2 ON T1.contestant_number  =  T2.contestant_number GROUP BY T1.contestant_number HAVING count(*)  >=  2;SELECT T1.contestant_number ,  contestant_name FROM CONTESTANTS AS T1 JOIN VOTES AS T2 ON T1.contestant_number = T2.contestant_number GROUP BY T1.contestant_number HAVING COUNT(*) >= 2;1;1
46;voter_1;Of all the contestants who got voted, what is the contestant number and name of the contestant who got least votes?;SELECT T1.contestant_number , T1.contestant_name FROM contestants AS T1 JOIN votes AS T2 ON T1.contestant_number  =  T2.contestant_number GROUP BY T1.contestant_number ORDER BY count(*) ASC LIMIT 1;SELECT COUNT(*) ,  T1.contestant_name FROM CONTESTANTS AS T1 JOIN VOTES AS T2 ON T1.contestant_number = T2.contestant_number GROUP BY T1.contestant_name ORDER BY COUNT(*) ASC LIMIT 1;0;
47;voter_1;What are the number of votes from state 'NY' or 'CA'?;SELECT count(*) FROM votes WHERE state  =  'NY' OR state  =  'CA';SELECT COUNT(*) FROM VOTES WHERE VOTES.state = 'NY'  OR VOTES.state = 'CA' ;1;1
48;voter_1;How many contestants did not get voted?;SELECT count(*) FROM contestants WHERE contestant_number NOT IN ( SELECT contestant_number FROM votes );SELECT COUNT(*) FROM CONTESTANTS;0;
49;voter_1;What are the create dates, states, and phone numbers of the votes that were for the contestant named 'Tabatha Gehling'?;SELECT T2.created ,  T2.state ,  T2.phone_number FROM contestants AS T1 JOIN votes AS T2 ON T1.contestant_number  =  T2.contestant_number WHERE T1.contestant_name  =  'Tabatha Gehling';SELECT T2.state ,  phone_number FROM CONTESTANTS AS T1 JOIN VOTES AS T2 ON T1.contestant_number = T2.contestant_number;0;
50;voter_1;Return the names of the contestants whose names contain the substring 'Al' .;"select contestant_name from contestants where contestant_name like ""%al%""";SELECT CONTESTANTS.contestant_name FROM CONTESTANTS WHERE CONTESTANTS.contestant_name = 'Al' ;0;
51;orchestra;How many conductors are there?;SELECT count(*) FROM conductor;SELECT COUNT(*) FROM conductor;1;1
52;orchestra;Count the number of conductors.;SELECT count(*) FROM conductor;SELECT COUNT(*) FROM conductor;1;1
53;orchestra;List the names of conductors in ascending order of age.;SELECT Name FROM conductor ORDER BY Age ASC;SELECT conductor.name FROM conductor ORDER BY conductor.Age ASC;1;1
54;orchestra;What are the names of conductors, ordered by age?;SELECT Name FROM conductor ORDER BY Age ASC;SELECT conductor.name FROM conductor ORDER BY conductor.Age;1;Missed ASC
55;orchestra;"What are the names of conductors whose nationalities are not ""USA""?";SELECT Name FROM conductor WHERE Nationality != 'USA';SELECT conductor.name FROM conductor WHERE conductor.Nationality != 'USA' ;1;1
56;orchestra;"Return the names of conductors that do not have the nationality ""USA"".";SELECT Name FROM conductor WHERE Nationality != 'USA';SELECT conductor.name FROM conductor WHERE conductor.Nationality != 'USA' ;1;1
57;orchestra;What are the record companies of orchestras in descending order of years in which they were founded?;SELECT Record_Company FROM orchestra ORDER BY Year_of_Founded DESC;SELECT orchestra.record_company FROM orchestra ORDER BY orchestra.Year_of_Founded DESC;1;1
58;orchestra;Return the record companies of orchestras, sorted descending by the years in which they were founded.;SELECT Record_Company FROM orchestra ORDER BY Year_of_Founded DESC;SELECT orchestra.record_company FROM orchestra ORDER BY orchestra.Year_of_Founded DESC;1;1
59;orchestra;What is the average attendance of shows?;SELECT avg(Attendance) FROM SHOW;SELECT AVG(show.Attendance) FROM show;1;1
60;orchestra;Return the average attendance across all shows.;SELECT avg(Attendance) FROM SHOW;SELECT AVG(show.Attendance) FROM show;1;1
61;orchestra;"What are the maximum and minimum share of performances whose type is not ""Live final"".";"SELECT max(SHARE) ,  min(SHARE) FROM performance WHERE TYPE != ""Live final""";SELECT MAX(performance.Share) ,MIN(performance.Share) FROM performance WHERE performance.Type != 'Live final' ;1;1
62;orchestra;"Return the maximum and minimum shares for performances that do not have the type ""Live final"".";"SELECT max(SHARE) ,  min(SHARE) FROM performance WHERE TYPE != ""Live final""";SELECT MAX(T2.Share) ,  MIN(T2.Share) FROM performance AS T2 JOIN show AS T1 ON T2.Performance_ID = T1.Performance_ID WHERE T2.Type  != 'Live final';0;
63;orchestra;How many different nationalities do conductors have?;SELECT count(DISTINCT Nationality) FROM conductor;SELECT COUNT(DISTINCT(conductor.Nationality)) FROM conductor;1;1
64;orchestra;Count the number of different nationalities of conductors.;SELECT count(DISTINCT Nationality) FROM conductor;SELECT COUNT(DISTINCT(conductor.Nationality)) FROM conductor;1;1
65;orchestra;List names of conductors in descending order of years of work.;SELECT Name FROM conductor ORDER BY Year_of_Work DESC;SELECT conductor.name FROM conductor ORDER BY conductor.Year_of_Work DESC;1;1
66;orchestra;List the name of the conductor with the most years of work.;SELECT Name FROM conductor ORDER BY Year_of_Work DESC LIMIT 1;SELECT conductor.name FROM conductor ORDER BY conductor.Year_of_Work DESC LIMIT 1;1;1
67;orchestra;What is the name of the conductor who has worked the greatest number of years?;SELECT Name FROM conductor ORDER BY Year_of_Work DESC LIMIT 1;SELECT conductor.name FROM conductor GROUP BY conductor.year_of_work ORDER BY conductor.Year_of_Work DESC LIMIT 1;1;Unnecessary Group By
68;orchestra;Show the names of conductors and the orchestras they have conducted.;SELECT T1.Name ,  T2.Orchestra FROM conductor AS T1 JOIN orchestra AS T2 ON T1.Conductor_ID  =  T2.Conductor_ID;SELECT T1.name FROM conductor AS T1 JOIN orchestra AS T2 ON T1.Conductor_ID = T2.Conductor_ID;0;
69;orchestra;What are the names of conductors as well as the corresonding orchestras that they have conducted?;SELECT T1.Name ,  T2.Orchestra FROM conductor AS T1 JOIN orchestra AS T2 ON T1.Conductor_ID  =  T2.Conductor_ID;SELECT T1.name FROM conductor AS T1 JOIN orchestra AS T2 ON T1.Conductor_ID = T2.Conductor_ID;0;
70;orchestra;Show the names of conductors that have conducted more than one orchestras.;SELECT T1.Name FROM conductor AS T1 JOIN orchestra AS T2 ON T1.Conductor_ID  =  T2.Conductor_ID GROUP BY T2.Conductor_ID HAVING COUNT(*)  >  1;SELECT T1.name FROM conductor AS T1 JOIN orchestra AS T2 ON T1.Conductor_ID = T2.Conductor_ID GROUP BY T1.name HAVING COUNT(*)> 1;1;1
71;orchestra;What are the names of conductors who have conducted at more than one orchestra?;SELECT T1.Name FROM conductor AS T1 JOIN orchestra AS T2 ON T1.Conductor_ID  =  T2.Conductor_ID GROUP BY T2.Conductor_ID HAVING COUNT(*)  >  1;SELECT T1.name FROM conductor AS T1 JOIN orchestra AS T2 ON T1.Conductor_ID = T2.Conductor_ID GROUP BY T1.name HAVING COUNT(*)> 1;1;1
72;orchestra;Show the name of the conductor that has conducted the most number of orchestras.;SELECT T1.Name FROM conductor AS T1 JOIN orchestra AS T2 ON T1.Conductor_ID  =  T2.Conductor_ID GROUP BY T2.Conductor_ID ORDER BY COUNT(*) DESC LIMIT 1;SELECT conductor.name FROM conductor GROUP BY conductor.name ORDER BY COUNT(*) DESC LIMIT 1;0;
73;orchestra;What is the name of the conductor who has conducted the most orchestras?;SELECT T1.Name FROM conductor AS T1 JOIN orchestra AS T2 ON T1.Conductor_ID  =  T2.Conductor_ID GROUP BY T2.Conductor_ID ORDER BY COUNT(*) DESC LIMIT 1;SELECT T1.name FROM conductor AS T1 JOIN orchestra AS T2 ON T1.Conductor_ID = T2.Conductor_ID GROUP BY T1.name ORDER BY COUNT(*) DESC LIMIT 1;0;
74;orchestra;Please show the name of the conductor that has conducted orchestras founded after 2008.;SELECT T1.Name FROM conductor AS T1 JOIN orchestra AS T2 ON T1.Conductor_ID  =  T2.Conductor_ID WHERE Year_of_Founded  >  2008;SELECT T1.name FROM conductor AS T1 JOIN orchestra AS T2 ON T1.Conductor_ID = T2.Conductor_ID GROUP BY T1.name HAVING COUNT(*)> 2008;0;
75;orchestra;What are the names of conductors who have conducted orchestras founded after the year 2008?;SELECT T1.Name FROM conductor AS T1 JOIN orchestra AS T2 ON T1.Conductor_ID  =  T2.Conductor_ID WHERE Year_of_Founded  >  2008;SELECT T1.name FROM conductor AS T1 JOIN orchestra AS T2 ON T1.Conductor_ID = T2.Conductor_ID WHERE T1.Year_of_Work > 2008;0;
76;orchestra;Please show the record formats of orchestras in ascending order of count.;SELECT Major_Record_Format FROM orchestra GROUP BY Major_Record_Format ORDER BY COUNT(*) ASC;SELECT orchestra.major_record_format FROM orchestra ORDER BY  orchestra.Major_Record_Format ASC;0;
77;orchestra;What are the major record formats of orchestras, sorted by their frequency?;SELECT Major_Record_Format FROM orchestra GROUP BY Major_Record_Format ORDER BY COUNT(*) ASC;SELECT orchestra.major_record_format FROM orchestra;0;
78;orchestra;List the record company shared by the most number of orchestras.;SELECT Record_Company FROM orchestra GROUP BY Record_Company ORDER BY COUNT(*) DESC LIMIT 1;SELECT orchestra.record_company FROM orchestra GROUP BY orchestra.record_company ORDER BY COUNT(*) DESC LIMIT 1;1;1
79;orchestra;What is the record company used by the greatest number of orchestras?;SELECT Record_Company FROM orchestra GROUP BY Record_Company ORDER BY COUNT(*) DESC LIMIT 1;SELECT orchestra.record_company FROM orchestra GROUP BY orchestra.record_company ORDER BY COUNT(*) DESC LIMIT 1;1;1
80;orchestra;"Find the number of orchestras whose record format is ""CD"" or ""DVD"".";"SELECT COUNT(*) FROM orchestra WHERE Major_Record_Format  =  ""CD"" OR Major_Record_Format  =  ""DVD""";SELECT COUNT(*) FROM orchestra WHERE orchestra.Major_Record_Format = 'CD'  OR orchestra.Major_Record_Format = 'DVD' ;1;1
81;orchestra;Count the number of orchestras that have CD or DVD as their record format.;"SELECT COUNT(*) FROM orchestra WHERE Major_Record_Format  =  ""CD"" OR Major_Record_Format  =  ""DVD""";SELECT COUNT(*) FROM orchestra;0;
82;orchestra;Show the years in which orchestras that have given more than one performance are founded.;SELECT Year_of_Founded FROM orchestra AS T1 JOIN performance AS T2 ON T1.Orchestra_ID  =  T2.Orchestra_ID GROUP BY T2.Orchestra_ID HAVING COUNT(*)  >  1;SELECT year_of_work FROM conductor AS T1 JOIN orchestra AS T3 ON T1.Conductor_ID = T3.Conductor_ID    JOIN performance AS T2 ON T2.Performance_ID = T3.Conductor_ID   WHERE T3.Orchestra > 'one'  GROUP BY T1.year_of_work HAVING COUNT(*)> 1;0;
83;orchestra;What are years of founding for orchestras that have had more than a single performance?;SELECT Year_of_Founded FROM orchestra AS T1 JOIN performance AS T2 ON T1.Orchestra_ID  =  T2.Orchestra_ID GROUP BY T2.Orchestra_ID HAVING COUNT(*)  >  1;SELECT orchestra.year_of_founded FROM orchestra;0;
84;singer;How many singers are there?;SELECT count(*) FROM singer;SELECT COUNT(*) FROM singer;1;1
85;singer;What is the count of singers?;SELECT count(*) FROM singer;SELECT COUNT(*) FROM singer;1;1
86;singer;List the name of singers in ascending order of net worth.;SELECT Name FROM singer ORDER BY Net_Worth_Millions ASC;SELECT singer.name FROM singer ORDER BY singer.Net_Worth_Millions ASC;1;1
87;singer;What are the names of singers ordered by ascending net worth?;SELECT Name FROM singer ORDER BY Net_Worth_Millions ASC;SELECT singer.name FROM singer ORDER BY singer.Net_Worth_Millions ASC;1;1
88;singer;What are the birth year and citizenship of singers?;SELECT Birth_Year ,  Citizenship FROM singer;SELECT singer.birth_year ,citizenship FROM singer;1;1
89;singer;What are the birth years and citizenships of the singers?;SELECT Birth_Year ,  Citizenship FROM singer;SELECT singer.birth_year ,citizenship FROM singer;1;1
90;singer;"List the name of singers whose citizenship is not ""France"".";"SELECT Name FROM singer WHERE Citizenship != ""France""";SELECT singer.name FROM singer WHERE singer.Citizenship != 'France' ;1;1
91;singer;What are the names of the singers who are not French citizens?;"SELECT Name FROM singer WHERE Citizenship != ""France""";SELECT singer.name FROM singer;0;
92;singer;Show the name of singers whose birth year is either 1948 or 1949?;SELECT Name FROM singer WHERE Birth_Year  =  1948 OR Birth_Year  =  1949;SELECT singer.name FROM singer WHERE singer.Birth_Year = '1948'  OR singer.Birth_Year = '1949';1;1
93;singer;What are the names of the singers whose birth years are either 1948 or 1949?;SELECT Name FROM singer WHERE Birth_Year  =  1948 OR Birth_Year  =  1949;SELECT singer.name FROM singer WHERE singer.Birth_Year = '1948'  OR singer.Birth_Year = '1949';1;1
94;singer;What is the name of the singer with the largest net worth?;SELECT Name FROM singer ORDER BY Net_Worth_Millions DESC LIMIT 1;SELECT singer.name FROM singer ORDER BY singer.Net_Worth_Millions DESC LIMIT 1;1;1
95;singer;What is the name of the singer who is worth the most?;SELECT Name FROM singer ORDER BY Net_Worth_Millions DESC LIMIT 1;SELECT singer.name FROM singer;0;
96;singer;Show different citizenship of singers and the number of singers of each citizenship.;SELECT Citizenship ,  COUNT(*) FROM singer GROUP BY Citizenship;SELECT COUNT(*) ,singer.citizenship FROM singer GROUP BY singer.citizenship;1;1
97;singer;For each citizenship, how many singers are from that country?;SELECT Citizenship ,  COUNT(*) FROM singer GROUP BY Citizenship;SELECT COUNT(*) ,citizenship FROM singer GROUP BY singer.citizenship;1;1
98;singer;Please show the most common citizenship of singers.;SELECT Citizenship FROM singer GROUP BY Citizenship ORDER BY COUNT(*) DESC LIMIT 1;SELECT singer.citizenship FROM singer GROUP BY singer.citizenship ORDER BY COUNT(*) DESC LIMIT 1;1;1
99;singer;What is the most common singer citizenship ?;select citizenship from singer group by citizenship order by count(*) desc limit 1;SELECT citizenship FROM singer GROUP BY singer.citizenship ORDER BY COUNT(*) DESC LIMIT 1;1;1
100;singer;Show different citizenships and the maximum net worth of singers of each citizenship.;SELECT Citizenship ,  max(Net_Worth_Millions) FROM singer GROUP BY Citizenship;SELECT singer.citizenship ,MAX(singer.Net_Worth_Millions) FROM singer GROUP BY singer.citizenship;1;1
101;singer;For each citizenship, what is the maximum net worth?;SELECT Citizenship ,  max(Net_Worth_Millions) FROM singer GROUP BY Citizenship;SELECT citizenship FROM singer GROUP BY singer.citizenship ORDER BY singer.Net_Worth_Millions DESC LIMIT 1;0;
102;singer;Show titles of songs and names of singers.;SELECT T2.Title ,  T1.Name FROM singer AS T1 JOIN song AS T2 ON T1.Singer_ID  =  T2.Singer_ID;SELECT T2.title ,  T1.name FROM singer AS T1 JOIN song AS T2 ON T1.Singer_ID = T2.Singer_ID;1;1
103;singer;What are the song titles and singer names?;SELECT T2.Title ,  T1.Name FROM singer AS T1 JOIN song AS T2 ON T1.Singer_ID  =  T2.Singer_ID;SELECT T2.title ,  T1.name FROM singer AS T1 JOIN song AS T2 ON T1.Singer_ID = T2.Singer_ID;1;1
104;singer;Show distinct names of singers that have songs with sales more than 300000.;SELECT DISTINCT T1.Name FROM singer AS T1 JOIN song AS T2 ON T1.Singer_ID  =  T2.Singer_ID WHERE T2.Sales  >  300000;SELECT DISTINCT(T1.Name) FROM singer AS T1 JOIN song AS T2 ON T1.Singer_ID = T2.Singer_ID WHERE T2.Sales > '300000';1;1
105;singer;what are the different names of the singers that have sales more than 300000?;SELECT DISTINCT T1.Name FROM singer AS T1 JOIN song AS T2 ON T1.Singer_ID  =  T2.Singer_ID WHERE T2.Sales  >  300000;SELECT DISTINCT(T1.Name) FROM singer AS T1 JOIN song AS T2 ON T1.Singer_ID = T2.Singer_ID WHERE T2.Sales > '300000';1;1
106;singer;Show the names of singers that have more than one song.;SELECT T1.Name FROM singer AS T1 JOIN song AS T2 ON T1.Singer_ID  =  T2.Singer_ID GROUP BY T1.Name HAVING COUNT(*)  >  1;SELECT T1.name FROM singer AS T1 JOIN song AS T2 ON T1.Singer_ID = T2.Singer_ID GROUP BY T1.name HAVING COUNT(*)> 1;1;1
107;singer;What are the names of the singers that have more than one songs?;SELECT T1.Name FROM singer AS T1 JOIN song AS T2 ON T1.Singer_ID  =  T2.Singer_ID GROUP BY T1.Name HAVING COUNT(*)  >  1;SELECT T1.name FROM singer AS T1 JOIN song AS T2 ON T1.Singer_ID = T2.Singer_ID GROUP BY T1.name HAVING COUNT(*)> 1;1;1
108;singer;Show the names of singers and the total sales of their songs.;SELECT T1.Name ,  sum(T2.Sales) FROM singer AS T1 JOIN song AS T2 ON T1.Singer_ID  =  T2.Singer_ID GROUP BY T1.Name;SELECT T1.name ,  T2.sales FROM singer AS T1 JOIN song AS T2 ON T1.Singer_ID = T2.Singer_ID;0;
109;singer;For each singer name, what is the total sales for their songs?;SELECT T1.Name ,  sum(T2.Sales) FROM singer AS T1 JOIN song AS T2 ON T1.Singer_ID  =  T2.Singer_ID GROUP BY T1.Name;SELECT name FROM singer AS T1 JOIN song AS T2 ON T1.Singer_ID = T2.Singer_ID GROUP BY T1.name;0;
110;singer;List the name of singers that do not have any song.;SELECT Name FROM singer WHERE Singer_ID NOT IN (SELECT Singer_ID FROM song);SELECT singer.name FROM singer WHERE  Singer_ID NOT IN (SELECT Singer_ID  FROM song);1;1
111;singer;What is the sname of every sing that does not have any song?;SELECT Name FROM singer WHERE Singer_ID NOT IN (SELECT Singer_ID FROM song);SELECT singer.name FROM singer WHERE  Singer_ID NOT IN (SELECT Singer_ID  FROM song);1;1
