Dev question ;Dev Gold SQL;Dev SQL;Train Question;Train Gold SQL;Train SQL;;
;;;How many different teams have had eliminated wrestlers?;SELECT COUNT(DISTINCT(Elimination.Team)) FROM wrestler WHERE  Elimination_ID IN (SELECT Elimination_ID  FROM wrestler)';SELECT COUNT (DISTINCT team) FROM elimination;;
;;;What are the times of elimination for any instances in which the elimination was done by Punk or Orton?;"""SELECT Elimination.time FROM Elimination WHERE wrestler.Name = 'Punk' OR wrestler.Reign = 'Orton'""";"SELECT TIME FROM elimination WHERE Eliminated_By  =  ""Punk"" OR Eliminated_By  =  ""Orton""";;
;;;What are the open dates and years for the shop named Apple?;"""SELECT open_date ,open_year FROM shop WHERE device.Device = 'Apple'""";"SELECT Open_Date ,  Open_Year FROM shop WHERE Shop_Name  =  ""Apple""";;
;;;Show names of shops and the carriers of devices they have in stock.;SELECT shop.shop_name ,  device.carrier FROM device WHERE  Shop_ID IN (SELECT Shop_ID  FROM stock)';SELECT T3.Shop_Name ,  T2.Carrier FROM stock AS T1 JOIN device AS T2 ON T1.Device_ID  =  T2.Device_ID JOIN shop AS T3 ON T1.Shop_ID  =  T3.Shop_ID;;
;;;Show names of shops that have more than one kind of device in stock.;SELECT T2.shop_name FROM device AS T3 JOIN stock AS T1 ON T3.Device_ID = T1.Device_ID    JOIN shop AS T2 ON T2.Shop_ID = T1.Shop_ID   GROUP BY T1.stock HAVING COUNT(*)> 1';SELECT T2.Shop_Name FROM stock AS T1 JOIN shop AS T2 ON T1.Shop_ID  =  T2.Shop_ID GROUP BY T1.Shop_ID HAVING COUNT(*)  >  1;;
;;;Show the name of the shop that has the most kind of devices in stock.;SELECT T3.shop_name FROM device AS T1 JOIN stock AS T2 ON T1.Device_ID = T2.Device_ID    JOIN shop AS T3 ON T3.Shop_ID = T2.Shop_ID   ORDER BY T2.T2 DESC LIMIT 1';SELECT T2.Shop_Name FROM stock AS T1 JOIN shop AS T2 ON T1.Shop_ID  =  T2.Shop_ID GROUP BY T1.Shop_ID ORDER BY COUNT(*) DESC LIMIT 1;;
;;;List the names of shops that have no devices in stock.;Error;SELECT Shop_Name FROM shop WHERE Shop_ID NOT IN (SELECT Shop_ID FROM stock);;
;;;What are the names of shops that do not have any devices in stock?;Error;SELECT Shop_Name FROM shop WHERE Shop_ID NOT IN (SELECT Shop_ID FROM stock);;
;;;List the carriers of devices that have no devices in stock.;;SELECT Shop_Name FROM shop WHERE Shop_ID NOT IN (SELECT Shop_ID FROM stock);;
;;;What are the carriers of devices that are in stock in more than a single shop?;SELECT T1.carrier ,  >(shop.Shop_Name) FROM device AS T1 JOIN stock AS T2 ON T1.Device_ID = T2.Device_ID    JOIN shop AS T3 ON T3.Shop_ID = T2.Shop_ID  ';SELECT T2.Carrier FROM stock AS T1 JOIN device AS T2 ON T1.Device_ID  =  T2.Device_ID GROUP BY T1.Device_ID HAVING COUNT(*)  >  1;;
;;;List all ship names in the order of built year and class.;SELECT T2.name ,  T2.class FROM Ship AS T1 JOIN captain AS T2 ON T1.Ship_ID = T2.Ship_ID ORDER BY T1.Built_Year ORDER BY T2.Class';SELECT name FROM ship ORDER BY built_year ,  CLASS;;
;;;What are the names of ships, ordered by year they were built and their class?;SELECT Ship.name FROM Ship ORDER BY Ship.Built_Year ORDER BY Ship.Class';SELECT name FROM ship ORDER BY built_year ,  CLASS;;
;;;Find the name and flag of ships that are not steered by any captain with Midshipman rank.;"""SELECT T2.name ,  flag FROM Ship AS T2 JOIN captain AS T1 ON T2.Ship_ID = T1.Ship_ID WHERE T1.Rank   not  'Midshipman'""";SELECT name ,  flag FROM ship WHERE ship_id NOT IN (SELECT ship_id FROM captain WHERE rank  =  'Midshipman');;
;;;Show the school name and type for schools without a school bus.;SELECT T2 ,  type FROM school AS T2 JOIN school_bus AS T1 ON T2.School_ID = T1.School_ID';SELECT school ,  TYPE FROM school WHERE school_id NOT IN (SELECT school_id FROM school_bus);;
