SQL,database,question
"SELECT DISTINCT t2.paperid FROM paperdataset AS t3 JOIN dataset AS t1 ON t3.datasetid  =  t1.datasetid JOIN paperkeyphrase AS t2 ON t2.paperid  =  t3.paperid JOIN keyphrase AS t4 ON t2.keyphraseid  =  t4.keyphraseid WHERE t1.datasetname  =  ""YAGO"" AND t4.keyphrasename  =  ""Semantic Data"";",scholar,"What are some papers dealing with Semantic Data in YAGO ?
"
"SELECT T1.Date_Claim_Made ,  T1.Claim_id FROM Claims AS T1 JOIN Settlements AS T2 ON T1.Claim_id  =  T2.Claim_id GROUP BY T1.Claim_id HAVING count(*)  >  2 UNION SELECT T1.Date_Claim_Made ,  T1.Claim_id FROM Claims AS T1 JOIN Settlements AS T2 ON T1.Claim_id  =  T2.Claim_id WHERE T1.Amount_Claimed  =  ( SELECT max(Amount_Claimed) FROM Claims )",insurance_policies,"Find the claims that led to more than two settlements or have the maximum claim value. For each of them, return the date the claim was made and the id of the claim.
"
"SELECT name ,  street_address ,  floors FROM building ORDER BY floors",protein_institute,"Show the name, street address, and number of floors for all buildings ordered by the number of floors.
"
"SELECT DISTINCT T2.product_id FROM orders AS T1 JOIN order_items AS T2 ON T1.order_id = T2.order_id WHERE T1.date_order_placed >= ""1975-01-01"" AND T1.date_order_placed <= ""1976-01-01""",tracking_orders,"What are the distinct ids of products ordered between 1975-01-01 and 1976-01-01??
"
SELECT title FROM course WHERE dept_name  =  'Statistics' INTERSECT SELECT title FROM course WHERE dept_name  =  'Psychology',college_2,"What is the title of a course that is listed in both the Statistics and Psychology departments?
"
"SELECT SUM ( t4.count ) FROM category AS t2 JOIN business AS t1 ON t2.business_id  =  t1.business_id JOIN category AS t3 ON t3.business_id  =  t1.business_id JOIN checkin AS t4 ON t4.business_id  =  t1.business_id WHERE t1.city  =  ""Los Angeles"" AND t2.category_name  =  ""Moroccan"" AND t3.category_name  =  ""restaurant"" AND t4.day  =  ""Friday"";",yelp,"find the total checkins in Moroccan restaurant in "" Los Angeles "" on Friday
"
"SELECT T2.name ,  T2.salary FROM advisor AS T1 JOIN instructor AS T2 ON T1.i_id  =  T2.id JOIN student AS T3 ON T1.s_id  =  T3.id WHERE T3.dept_name  =  'History'",college_2,"What are the names and salaries of instructors who advises students in the History department?
"
"SELECT Major FROM STUDENT WHERE Sex  =  ""M""",voter_2,"List the major of each male student.
"
"SELECT count(DISTINCT title) FROM vocals AS T1 JOIN songs AS T2 ON T1.songid  =  T2.songid WHERE TYPE  =  ""shared""",music_2,"How many songs have a shared vocal?
"
"SELECT T2.firstname ,  T2.lastname FROM Performance AS T1 JOIN Band AS T2 ON T1.bandmate  =  T2.id JOIN Songs AS T3 ON T3.SongId  =  T1.SongId WHERE T3.Title  =  ""Badlands"" AND T1.StagePosition  =  ""back""",music_2,"Who is performing in the back stage position for the song ""Badlands""? Show the first name and the last name.
"
"SELECT T2.name ,  T2.position FROM department AS T1 JOIN physician AS T2 ON T1.head  =  T2.EmployeeID GROUP BY departmentID ORDER BY count(departmentID) LIMIT 1;",hospital_1,"Find the name and position of the head of the department with the least employees.
"
SELECT DISTINCT zip_code FROM weather EXCEPT SELECT DISTINCT zip_code FROM weather WHERE max_dew_point_f  >=  70,bike_1,"What are all the different zip codes that have a maximum dew point that was always below 70?
"
"SELECT count(*) FROM department AS T1 JOIN course AS T2 ON T1.dept_code  =  T2.dept_code WHERE dept_name  =  ""Computer Info. Systems""",college_1,"How many courses are offered by the Computer Info. Systems department?
"
SELECT name FROM airport WHERE name LIKE '%international%',flight_company,"Which of the airport names contains the word 'international'?
"
SELECT T2.Lifespan FROM election AS T1 JOIN representative AS T2 ON T1.Representative_ID  =  T2.Representative_ID ORDER BY Vote_Percent DESC,election_representative,"What are the lifespans of representatives in descending order of vote percent?
"
"SELECT T2.title ,  avg(T1.stars) FROM Rating AS T1 JOIN Movie AS T2 ON T1.mID  =  T2.mID GROUP BY T1.mID ORDER BY avg(T1.stars) LIMIT 1",movie_1,"What are the movie titles and average rating of the movies with the lowest average rating?
"
"SELECT DISTINCT COUNT ( DISTINCT t2.paperid ) FROM writes AS t2 JOIN author AS t1 ON t2.authorid  =  t1.authorid WHERE t1.authorname  =  ""Christopher D. Manning"";",scholar,"how many papers does Christopher D. Manning have ?
"
SELECT order_id FROM orders ORDER BY date_order_placed DESC LIMIT 1,tracking_orders,"Find the id of the order made most recently.
"
SELECT fname FROM student WHERE city_code  =  'PHL' AND age BETWEEN 20 AND 25,dorm_1,"What is the first name of the students who are in age 20 to 25 and living in PHL city?
"
"SELECT traverse FROM river WHERE river_name  =  ""ohio"";",geo,"what states border the ohio river
"
SELECT course_id FROM course EXCEPT SELECT course_id FROM prereq,college_2,"Find the id of the courses that do not have any prerequisite?
"
SELECT StuID FROM Has_allergy GROUP BY StuID HAVING count(*)  >=  2,allergy_1,"Show all student IDs who have at least two allergies.
"
SELECT Party FROM people ORDER BY Age ASC LIMIT 1,debate,"What is the party of the youngest people?
"
"SELECT count(*) FROM Student JOIN Visits_Restaurant ON Student.StuID = Visits_Restaurant.StuID JOIN Restaurant ON Visits_Restaurant.ResID = Restaurant.ResID WHERE Student.Fname = ""Linda"" AND Student.Lname = ""Smith"" AND Restaurant.ResName = ""Subway"";",restaurant_1,"How many times has the student Linda Smith visited Subway?
"
"SELECT Official_native_language FROM country WHERE Official_native_language LIKE ""%English%""",match_season,"What are the official native languages that contain the string ""English"".
"
SELECT Builder FROM railway GROUP BY Builder ORDER BY COUNT(*) DESC LIMIT 1,railway,"Show the most common builder of railways.
"
"SELECT count(*) FROM club WHERE clublocation  =  ""HHH""",club_1,"Count the number of clubs located at ""HHH"".
"
"SELECT AVG(Price) ,  AVG(Cases) FROM WINE WHERE YEAR  =  2009 AND Grape  =  ""Zinfandel""",wine_1,"What are the average prices and cases of wines produced in the year of 2009 and made of Zinfandel grape?
"
"SELECT T1.name ,  T1.trade_name FROM medicine AS T1 JOIN medicine_enzyme_interaction AS T2 ON T2.medicine_id  =  T1.id WHERE interaction_type  =  'inhibitor' INTERSECT SELECT T1.name ,  T1.trade_name FROM medicine AS T1 JOIN medicine_enzyme_interaction AS T2 ON T2.medicine_id  =  T1.id WHERE interaction_type  =  'activitor'",medicine_enzyme_interaction,"What are the medicine and trade names that can interact as an inhibitor and activitor with enzymes?
"
"SELECT T1.name_full ,  T1.college_id FROM college AS T1 JOIN player_college AS T2 ON T1.college_id  =  T2.college_id GROUP BY T1.college_id ORDER BY count(*) DESC LIMIT 1;",baseball_1,"what is the full name and id of the college with the largest number of baseball players?
"
"SELECT job_title ,  max_salary - min_salary FROM jobs WHERE max_salary BETWEEN 12000 AND 18000",hr_1,"display job Title, the difference between minimum and maximum salaries for those jobs which max salary within the range 12000 to 18000.
"
"SELECT T2.year FROM city AS T1 JOIN hosting_city AS T2 ON T1.city_id  =  T2.host_city WHERE T1.city  =  ""Taizhou ( Zhejiang )""",city_record,"IN which year did city ""Taizhou ( Zhejiang )"" serve as a host city?
"
SELECT count(*) FROM storm WHERE Number_Deaths  >  0,storm_record,"How many storms had death records?
"
"SELECT flno ,  origin ,  destination FROM Flight ORDER BY origin",flight_1,"What is the flight number, origin, and destination for all flights in alphabetical order by departure cities?
"
"SELECT sum(T1.Order_Quantity) FROM ORDER_ITEMS AS T1 JOIN Products AS T2 ON T1.Product_ID  =  T2.Product_ID WHERE T2.Product_Name  =  ""photo""",cre_Drama_Workshop_Groups,"Compute the total order quantities of the product ""photo"".
"
"SELECT document_name ,  document_id FROM Documents WHERE document_type_code  =  ""BK""",cre_Docs_and_Epenses,"What are the names and ids of documents that have the type code BK?
"
SELECT T1.region_name FROM region AS T1 JOIN affected_region AS T2 ON T1.region_id = T2.region_id GROUP BY T1.region_id HAVING count(*)  >=  2,storm_record,"What are the names of regions with two or more storms?
"
"SELECT COUNT ( DISTINCT t3.title  ) FROM tags AS t2 JOIN keyword AS t1 ON t2.kid  =  t1.id JOIN movie AS t3 ON t2.msid  =  t3.mid WHERE t1.keyword  =  ""Iraq war"" AND t3.release_year  =  2015;",imdb,"How many movies about Iraq war were produced in 2015 ?
"
SELECT T1.facility_code FROM Apartment_Facilities AS T1 JOIN Apartments AS T2 ON T1.apt_id  =  T2.apt_id WHERE T2.bedroom_count  >  4,apartment_rentals,"What are the facility codes of the apartments with more than four bedrooms?
"
"SELECT T1.title FROM albums AS T1 JOIN artists AS T2 ON  T1.artist_id = T2.id WHERE T2.name = ""Aerosmith"";",store_1,"What are the titles of all the Aerosmith albums?
"
SELECT cloud_cover FROM weather WHERE zip_code  =  94107 GROUP BY cloud_cover ORDER BY COUNT (*) DESC LIMIT 3,bike_1,"What are the 3 most common cloud covers in the zip code of 94107?
"
"SELECT DISTINCT t2.paperid FROM writes AS t2 JOIN author AS t1 ON t2.authorid  =  t1.authorid WHERE t1.authorname  =  ""sharon goldwater"";",scholar,"What has sharon goldwater published ?
"
SELECT T1.city FROM city AS T1 JOIN temperature AS T2 ON T1.city_id  =  T2.city_id WHERE T2.Mar  <  T2.Jul INTERSECT SELECT T3.city FROM city AS T3 JOIN hosting_city AS T4 ON T3.city_id  =  T4.host_city,city_record,"Give me a list of cities whose temperature in Mar is lower than that in July and which have also served as host cities?
"
SELECT count(DISTINCT role_code) FROM Project_Staff,tracking_grants_for_research,"How many different roles are there on the project staff?
"
"SELECT product_type_code ,  max(product_price) ,  min(product_price) FROM products GROUP BY product_type_code",department_store,"For each product type, return the maximum and minimum price.
"
"SELECT T1.Committee FROM election AS T1 JOIN party AS T2 ON T1.Party  =  T2.Party_ID WHERE T2.Party  =  ""Democratic""",election,"Return all the committees that have delegates from Democratic party.
"
SELECT gdp FROM city ORDER BY Regional_Population DESC LIMIT 1,city_record,"Find the GDP of the city with the largest regional population.
"
"SELECT traverse FROM river WHERE river_name  =  ""ohio"";",geo,"which states border the ohio river
"
"SELECT DISTINCT COUNT ( t4.paperid )  ,  t3.authorid FROM paperkeyphrase AS t1 JOIN keyphrase AS t2 ON t1.keyphraseid  =  t2.keyphraseid JOIN paper AS t4 ON t4.paperid  =  t1.paperid JOIN writes AS t3 ON t3.paperid  =  t4.paperid WHERE t2.keyphrasename  =  ""semantic parsing"" AND t4.year  >  2005 GROUP BY t3.authorid ORDER BY COUNT ( t4.paperid ) DESC;",scholar,"who has the most papers in semantic parsing after 2005 ?
"
SELECT student_id FROM student_course_registrations UNION SELECT student_id FROM student_course_attendance,student_assessment,"What are the id of students who registered courses or attended courses?
"
SELECT avg(no_of_customers) FROM bank WHERE state  =  'Utah',loan_1,"Find the average number of customers in all banks of Utah state.
"
SELECT T2.Fleet_Series FROM pilot_record AS T1 JOIN aircraft AS T2 ON T1.Aircraft_ID  =  T2.Aircraft_ID JOIN pilot AS T3 ON T1.Pilot_ID  =  T3.Pilot_ID WHERE T3.Age  <  34,pilot_record,"Show the fleet series of the aircrafts flied by pilots younger than 34
"
SELECT customer_details FROM customers ORDER BY customer_details,insurance_and_eClaims,"Sort the customer names in alphabetical order.
"
"SELECT T1.project_details ,  T1.project_id FROM Projects AS T1 JOIN Project_outcomes AS T2 ON T1.project_id  =  T2.project_id GROUP BY T1.project_id ORDER BY count(*) DESC LIMIT 1",tracking_grants_for_research,"What are the details and id of the project with the most outcomes?
"
"SELECT T1.club_id ,  T1.club_name, count(*) FROM club AS T1 JOIN coach AS T2 ON T1.club_id  =  T2.club_id GROUP BY T1.club_id",riding_club,"How many coaches does each club has? List the club id, name and the number of coaches.
"
SELECT patient FROM undergoes ORDER BY dateundergoes LIMIT 1,hospital_1,"Which patient is undergoing the most recent treatment?
"
SELECT Shop_Name FROM shop ORDER BY Open_Year DESC LIMIT 1,device,"List the name of the shop with the latest open year.
"
"SELECT gtype ,  count(*) FROM Video_games GROUP BY gtype",game_1,"What are the types of video games and how many are in each type?
"
"SELECT min(salary) ,  dept_name FROM instructor GROUP BY dept_name HAVING avg(salary)  >  (SELECT avg(salary) FROM instructor)",college_2,"What is the lowest salary in departments with average salary greater than the overall average.
"
SELECT DISTINCT COUNT ( DISTINCT paperid ) FROM paper;,scholar,"How many papers are there ?
"
"SELECT fname ,  lname FROM student WHERE age  <  (SELECT avg(age) FROM student)",dorm_1,"Find the first and last name of students whose age is younger than the average age.
"
SELECT T1.response_received_date FROM Documents AS T1 JOIN Document_Types AS T2 ON T1.document_type_code  =  T2.document_type_code JOIN Grants AS T3 ON T1.grant_id  =  T3.grant_id WHERE T2.document_description  =  'Regular' OR T3.grant_amount  >  100,tracking_grants_for_research,"What are the response received dates for the documents described as 'Regular' or granted with more than 100?
"
SELECT T1.age FROM Person AS T1 JOIN PersonFriend AS T2 ON T1.name  =  T2.friend WHERE T2.name =  'Zach' AND T2.year  =  (SELECT max(YEAR) FROM PersonFriend WHERE name =  'Zach'),network_2,"What is the age of the friend of Zach with longest year relationship?
"
SELECT name FROM scientists ORDER BY name,scientist_1,"List the names of all scientists sorted in alphabetical order.
"
SELECT classroom FROM list GROUP BY classroom ORDER BY count(*) DESC LIMIT 1,student_1,"Which classroom has the most students?
"
"SELECT T3.Party_Theme ,  T2.Name FROM party_host AS T1 JOIN HOST AS T2 ON T1.Host_ID  =  T2.Host_ID JOIN party AS T3 ON T1.Party_ID  =  T3.Party_ID",party_host,"Show the themes of parties and the names of the party hosts.
"
SELECT avg(Years_working) FROM journalist,news_report,"What is the average number of years spent working as a journalist?
"
SELECT T2.friend FROM Person AS T1 JOIN PersonFriend AS T2 ON T1.name  =  T2.friend WHERE T2.name  =  'Alice' AND T1.gender  =  'female',network_2,"Find the female friends of Alice.
"
"SELECT DISTINCT t1.authorid  ,  t3.paperid FROM paperkeyphrase AS t2 JOIN keyphrase AS t5 ON t2.keyphraseid  =  t5.keyphraseid JOIN paper AS t3 ON t3.paperid  =  t2.paperid JOIN writes AS t4 ON t4.paperid  =  t3.paperid JOIN author AS t1 ON t4.authorid  =  t1.authorid WHERE t1.authorname  =  ""brian curless"" AND t5.keyphrasename  =  ""convolution"";",scholar,"Does brian curless do convolution ?
"
SELECT count(*) FROM ROLES,cre_Doc_Tracking_DB,"Count the total number of roles listed.
"
"SELECT count(*) ,  T1.name FROM scientists AS T1 JOIN assignedto AS T2 ON T1.ssn  =  T2.scientist GROUP BY T1.name",scientist_1,"Find the number of projects which each scientist is working on and scientist's name.
"
"SELECT t1.name FROM category AS t2 JOIN business AS t1 ON t2.business_id  =  t1.business_id JOIN category AS t3 ON t3.business_id  =  t1.business_id WHERE t1.city  =  ""Dallas"" AND t1.state  =  ""Texas"" AND t2.category_name  =  ""Valet Service"" AND t3.category_name  =  ""restaurant"";",yelp,"Find all restaurant with Valet Service in Dallas Texas
"
"SELECT avg(Price) ,  YEAR FROM WINE GROUP BY YEAR",wine_1,"What are the average prices of wines for different years?
"
SELECT DISTINCT product_size FROM Products,customers_and_invoices,"Show all product sizes.
"
"SELECT population FROM city WHERE city_name  =  ""boulder"";",geo,"population of boulder
"
"SELECT DISTINCT t2.datasetid FROM paperdataset AS t3 JOIN dataset AS t2 ON t3.datasetid  =  t2.datasetid JOIN paperkeyphrase AS t1 ON t1.paperid  =  t3.paperid JOIN keyphrase AS t4 ON t1.keyphraseid  =  t4.keyphraseid WHERE t4.keyphrasename  =  ""semantic parsing"";",scholar,"Datasets with semantic parsing information
"
"SELECT name ,  distance FROM Aircraft WHERE aid  =  12",flight_1,"What is the name and distance for the aircraft that has an id of 12?
"
"SELECT sum(number_deaths) ,  sum(damage_millions_USD) FROM storm WHERE max_speed  >  (SELECT avg(max_speed) FROM storm)",storm_record,"What is the total number of deaths and damage for all storms with a max speed greater than the average?
"
"SELECT order_id FROM shipments WHERE shipment_date > ""2000-01-01""",tracking_orders,"Find the ids of orders which are shipped after 2000-01-01.
"
"SELECT DISTINCT t2.keyphraseid FROM paper AS t3 JOIN paperkeyphrase AS t2 ON t3.paperid  =  t2.paperid JOIN writes AS t4 ON t4.paperid  =  t3.paperid JOIN author AS t1 ON t4.authorid  =  t1.authorid WHERE t1.authorname  =  ""Christof Dallermassl"" AND t3.year  =  2000;",scholar,"What are keyphrases by Christof Dallermassl in 2000 ?
"
SELECT role_code FROM Project_Staff GROUP BY role_code ORDER BY count(*) DESC LIMIT 1,tracking_grants_for_research,"Which role is most common for the staff?
"
SELECT document_name FROM documents WHERE document_code NOT IN (SELECT document_code FROM document_sections),document_management,"What are the names of documents that do not have any sections?
"
SELECT name FROM useracct WHERE u_id NOT IN (SELECT u_id FROM review),epinions_1,"Find the names of users who did not leave any review.
"
"SELECT count(*) FROM Customers_cards WHERE card_type_code  =  ""Debit""",customers_card_transactions,"Count the number of customer cards of the type Debit.
"
"SELECT name_first ,  name_last FROM player AS T1 JOIN all_star AS T2 ON T1.player_id  =  T2.player_id WHERE YEAR  =  1998",baseball_1,"List the first and last name for players who participated in all star game in 1998.
"
SELECT count(*) FROM employee AS T1 JOIN CLASS AS T2 ON T1.EMP_NUM  =  T2.PROF_NUM WHERE T1.EMP_LNAME  =  'Graztevski',college_1,"How many classes are professor whose last name is Graztevski has?
"
SELECT count(*) FROM Invoices,customers_and_invoices,"Count the number of invoices.
"
SELECT payment_date FROM payment ORDER BY payment_date ASC LIMIT 1,sakila_1,"When did the first payment happen?
"
SELECT DISTINCT LOCATION FROM track,race_track,"What are distinct locations where tracks are located?
"
SELECT T4.dept_name FROM CLASS AS T1 JOIN enroll AS T2 ON T1.class_code  =  T2.class_code JOIN course AS T3 ON T1.crs_code  =  T3.crs_code JOIN department AS T4 ON T3.dept_code  =  T4.dept_code GROUP BY T3.dept_code ORDER BY count(*) DESC LIMIT 1,college_1,"What is the name of the department with the most students enrolled?
"
"SELECT t2.name FROM director AS t2 JOIN directed_by AS t1 ON t2.did  =  t1.did JOIN movie AS t3 ON t3.mid  =  t1.msid WHERE t3.title  =  ""James Bond"";",imdb,"List "" James Bond "" directors
"
"SELECT count(*) ,  sex FROM employee WHERE salary  <  50000 GROUP BY sex",company_1,"Find the number of employees of each gender whose salary is lower than 50000.
"
"SELECT zip_code  ,  avg(mean_temperature_f) FROM weather WHERE date LIKE ""8/%"" GROUP BY zip_code",bike_1,"For each zip code, return the average mean temperature of August there.
"
"SELECT DISTINCT t4.citedpaperid  ,  COUNT ( t4.citedpaperid ) FROM paperkeyphrase AS t2 JOIN keyphrase AS t1 ON t2.keyphraseid  =  t1.keyphraseid JOIN paper AS t3 ON t3.paperid  =  t2.paperid JOIN cite AS t4 ON t3.paperid  =  t4.citedpaperid WHERE t1.keyphrasename  =  ""parsing"" GROUP BY t4.citedpaperid ORDER BY COUNT ( t4.citedpaperid ) DESC;",scholar,"parsing papers with most citations
"
"SELECT t2.title FROM publication AS t2 JOIN conference AS t1 ON t2.cid  =  t1.cid WHERE t1.name  =  ""VLDB"" AND t2.year  >  2000 ORDER BY t2.citation_num DESC LIMIT 1;",academic,"return me the paper after 2000 in VLDB conference with the most citations .
"
SELECT T1.customer_id FROM customers AS T1 JOIN orders AS T2 ON T1.customer_id  =  T2.customer_id GROUP BY T1.customer_id ORDER BY count(*) DESC LIMIT 1,tracking_orders,"Find the id of the customer who made the most orders.
"
SELECT T1.emp_fname FROM employee AS T1 JOIN professor AS T2 ON T1.emp_num  =  T2.emp_num JOIN department AS T3 ON T2.dept_code  =  T3.dept_code WHERE T3.dept_name  =  'History' EXCEPT SELECT T4.emp_fname FROM employee AS T4 JOIN CLASS AS T5 ON T4.emp_num  =  T5.prof_num,college_1,"What is the first names of the professors from the history department who do not teach a class.
"
"SELECT t3.title FROM authors AS t1 JOIN authorship AS t2 ON t1.authid  =  t2.authid JOIN papers AS t3 ON t2.paperid  =  t3.paperid JOIN inst AS t4 ON t2.instid  =  t4.instid WHERE t4.country  =  ""Japan"" AND t2.authorder  =  1 AND t1.lname  =  ""Ohori""",icfp_1,"Find the titles of papers whose first author is affiliated with an institution in the country ""Japan"" and has last name ""Ohori""?
"
SELECT problem_log_id FROM problem_log ORDER BY log_entry_date DESC LIMIT 1,tracking_software_problems,"What is the id of the problem log that is created most recently?
"
"SELECT max(Silver) ,  min(Silver) FROM club_rank",sports_competition,"What are the maximum and minimum number of silver medals for clubs.
"
SELECT T1.Other_Item_Details FROM ORDER_ITEMS AS T1 JOIN Products AS T2 ON T1.Product_ID  =  T2.Product_ID WHERE T2.Product_price  >  2000,cre_Drama_Workshop_Groups,"What are the order details of the products with price higher than 2000?
"
"SELECT DISTINCT t3.year FROM writes AS t2 JOIN author AS t1 ON t2.authorid  =  t1.authorid JOIN paper AS t3 ON t2.paperid  =  t3.paperid WHERE t1.authorname  =  ""Luke S Zettlemoyer"" ORDER BY t3.year;",scholar,"When did Luke S Zettlemoyer publish ?
"
"SELECT DISTINCT t3.paperid  ,  t3.year FROM paperkeyphrase AS t2 JOIN keyphrase AS t1 ON t2.keyphraseid  =  t1.keyphraseid JOIN paper AS t3 ON t3.paperid  =  t2.paperid WHERE t1.keyphrasename  =  ""deep learning"" ORDER BY t3.year DESC;",scholar,"What is the most recent paper of deep learning ?
"
